City,Target,MAE,RMSE,Test_values,Pred_values
Binh Dinh (Quy Nhon),temperature_average_c,0.6745096808423894,0.7247019446362114,"[np.float64(26.81), np.float64(26.51), np.float64(26.72), np.float64(26.55), np.float64(26.69), np.float64(27.33), np.float64(27.16)]","[np.float64(27.22000634676419), np.float64(27.378757359391475), np.float64(27.49858013718108), np.float64(27.56639796144408), np.float64(27.59880566383064), np.float64(27.612186825636268), np.float64(27.616833471648995)]"
Binh Dinh (Quy Nhon),PRCP,21.996728847081013,26.02355139527221,"[np.float64(0.47), np.float64(0.75), np.float64(51.05), np.float64(42.06), np.float64(49.45), np.float64(13.75), np.float64(30.24)]","[np.float64(10.723438836543352), np.float64(10.864666614383584), np.float64(10.60262127052641), np.float64(10.602302504179468), np.float64(10.58005361238006), np.float64(10.578982100881682), np.float64(10.577044033392205)]"
Binh Dinh (Quy Nhon),wind_speed_km,3.4071691407440734,4.255623495379675,"[np.float64(19.656), np.float64(16.092), np.float64(21.78), np.float64(18.72), np.float64(13.608), np.float64(7.848000000000001), np.float64(11.916)]","[np.float64(16.694882716152488), np.float64(14.951419059945371), np.float64(14.033134735631691), np.float64(13.557776694809343), np.float64(13.312734459088102), np.float64(13.186547950087958), np.float64(13.121583700747554)]"
Buon Ma Thuot (Dak Lak),temperature_average_c,0.8338817684628468,0.9184178040652445,"[np.float64(23.12), np.float64(22.97), np.float64(21.91), np.float64(22.63), np.float64(22.36), np.float64(22.58), np.float64(22.88)]","[np.float64(23.45846005368699), np.float64(23.492640248896084), np.float64(23.486592388559636), np.float64(23.474304574943094), np.float64(23.464272694405178), np.float64(23.45753659518054), np.float64(23.4533658235684)]"
Buon Ma Thuot (Dak Lak),PRCP,6.017184532553189,7.737449646298371,"[np.float64(6.15), np.float64(1.71), np.float64(8.97), np.float64(7.05), np.float64(15.95), np.float64(28.23), np.float64(9.02)]","[np.float64(8.157317882418845), np.float64(11.211943239527859), np.float64(11.488240695410601), np.float64(11.720375339942304), np.float64(11.738784414630846), np.float64(11.7564576986756), np.float64(11.757656683879162)]"
Buon Ma Thuot (Dak Lak),wind_speed_km,0.728291148448888,0.9469193115728232,"[np.float64(4.176), np.float64(5.472), np.float64(4.824000000000001), np.float64(4.536), np.float64(2.916), np.float64(2.628), np.float64(3.096)]","[np.float64(4.297963110148758), np.float64(3.8264416371225893), np.float64(3.5016763857280684), np.float64(3.2887642229061846), np.float64(3.1497775012491385), np.float64(3.059083125934383), np.float64(2.999903452433222)]"
Ca Mau,temperature_average_c,0.9775772740343857,1.0857265640979261,"[np.float64(27.74), np.float64(26.83), np.float64(27.39), np.float64(27.44), np.float64(26.37), np.float64(26.59), np.float64(26.46)]","[np.float64(28.055153232025027), np.float64(27.985982096160896), np.float64(27.94656474426698), np.float64(27.92751631282156), np.float64(27.91894587139954), np.float64(27.91522894452956), np.float64(27.91364971703714)]"
Ca Mau,PRCP,3.6689520183519755,4.775277507805369,"[np.float64(7.28), np.float64(7.89), np.float64(6.84), np.float64(7.0), np.float64(20.15), np.float64(10.44), np.float64(11.09)]","[np.float64(11.709729585711676), np.float64(10.220762183432678), np.float64(9.661236179385716), np.float64(9.445449297163561), np.float64(9.366385411082286), np.float64(9.334371054269454), np.float64(9.323756651878062)]"
Ca Mau,wind_speed_km,3.08305123536092,3.4846176508870528,"[np.float64(8.316), np.float64(6.803999999999999), np.float64(12.672), np.float64(13.572), np.float64(7.956), np.float64(4.464), np.float64(8.532)]","[np.float64(5.637582704228081), np.float64(7.3853983087986945), np.float64(8.645907149878697), np.float64(9.492754717484289), np.float64(10.056486968453424), np.float64(10.431286625103699), np.float64(10.680431316761691)]"
Can Tho,temperature_average_c,1.0737199537229425,1.3649463304812264,"[np.float64(27.11), np.float64(27.26), np.float64(27.09), np.float64(25.82), np.float64(25.46), np.float64(25.04), np.float64(25.39)]","[np.float64(26.953173158913746), np.float64(27.080607257746294), np.float64(27.154905374306402), np.float64(27.190584736851864), np.float64(27.206231112572297), np.float64(27.21274078642466), np.float64(27.215358082565412)]"
Can Tho,PRCP,4.739712702198849,5.878834318134606,"[np.float64(15.43), np.float64(11.63), np.float64(8.66), np.float64(19.94), np.float64(2.03), np.float64(11.61), np.float64(6.28)]","[np.float64(8.699665108076733), np.float64(8.557952617955815), np.float64(8.521625865293638), np.float64(8.511616053454356), np.float64(8.509032226308879), np.float64(8.508324727593564), np.float64(8.508141061457172)]"
Can Tho,wind_speed_km,2.237030231086464,2.6699517439353317,"[np.float64(3.78), np.float64(7.2), np.float64(7.416), np.float64(4.608000000000001), np.float64(3.312), np.float64(5.544), np.float64(4.356)]","[np.float64(6.79257953930885), np.float64(7.073859472395934), np.float64(7.2790914662540915), np.float64(7.424079866732292), np.float64(7.527106405565097), np.float64(7.600237864506243), np.float64(7.65215888014279)]"
Da Lat (Lam Dong),temperature_average_c,0.6725820327601733,0.7753997061311314,"[np.float64(23.48), np.float64(23.21), np.float64(22.32), np.float64(23.29), np.float64(23.51), np.float64(23.22), np.float64(23.42)]","[np.float64(23.782776476271696), np.float64(23.84883768302378), np.float64(23.88408617972571), np.float64(23.90179372162188), np.float64(23.910304025455606), np.float64(23.914250768224207), np.float64(23.916025374998338)]"
Da Lat (Lam Dong),PRCP,14.636838717165048,17.57215352332632,"[np.float64(4.69), np.float64(1.33), np.float64(24.63), np.float64(41.59), np.float64(39.28), np.float64(28.77), np.float64(10.68)]","[np.float64(9.050650413425432), np.float64(12.211290324018702), np.float64(11.415845953540884), np.float64(12.607257484330978), np.float64(12.005164728185814), np.float64(12.546433381435294), np.float64(12.20063183020418)]"
Da Lat (Lam Dong),wind_speed_km,0.793171894512746,0.9093487526851121,"[np.float64(3.672), np.float64(4.428), np.float64(3.384), np.float64(2.952), np.float64(1.8), np.float64(2.232), np.float64(2.556)]","[np.float64(4.124527272433608), np.float64(3.880138103106331), np.float64(3.6695362815438695), np.float64(3.5378350749440446), np.float64(3.460788384374965), np.float64(3.416496688430953), np.float64(3.391157662968113)]"
Da Nang,temperature_average_c,1.542728039082426,1.5681708983474703,"[np.float64(23.44), np.float64(23.63), np.float64(23.85), np.float64(23.93), np.float64(24.08), np.float64(24.77), np.float64(24.78)]","[np.float64(24.934989758079247), np.float64(25.313924297010992), np.float64(25.601062507867766), np.float64(25.769876453126386), np.float64(25.85555014250873), np.float64(25.89415917150423), np.float64(25.90953394347963)]"
Da Nang,PRCP,99.99864810446556,142.66873958407925,"[np.float64(5.6), np.float64(24.86), np.float64(52.48), np.float64(38.27), np.float64(166.4), np.float64(300.89), np.float64(210.83)]","[np.float64(9.559004367765763), np.float64(14.334260421841138), np.float64(15.947124709828906), np.float64(16.60082377146178), np.float64(16.857753722290283), np.float64(16.959229042051913), np.float64(16.99927596903291)]"
Da Nang,wind_speed_km,3.6187243650282364,3.923832436206027,"[np.float64(12.636), np.float64(6.803999999999999), np.float64(10.872), np.float64(10.332), np.float64(12.384), np.float64(13.248), np.float64(11.232)]","[np.float64(10.696344047503628), np.float64(8.56511204631887), np.float64(7.737095857345592), np.float64(7.351175891902563), np.float64(7.179513150953873), np.float64(7.102281080723623), np.float64(7.067631462691936)]"
Hai Phong,temperature_average_c,3.085945861696299,3.3219348494257788,"[np.float64(18.95), np.float64(17.48), np.float64(19.95), np.float64(21.73), np.float64(22.87), np.float64(22.59), np.float64(22.3)]","[np.float64(21.883482891942883), np.float64(23.10826861472647), np.float64(23.96298541700529), np.float64(24.41748842787153), np.float64(24.628557058923633), np.float64(24.717910302083396), np.float64(24.752928319320894)]"
Hai Phong,PRCP,7.177472731486929,7.3081434174712,"[np.float64(0.98), np.float64(1.64), np.float64(0.22), np.float64(0.01), np.float64(0.06), np.float64(0.04), np.float64(0.04)]","[np.float64(5.3668775353736375), np.float64(7.440329846152856), np.float64(7.960587250942087), np.float64(8.088326709424386), np.float64(8.119648617207574), np.float64(8.12732814867383), np.float64(8.12921101263413)]"
Hai Phong,wind_speed_km,0.9356881171182971,1.2353486482952032,"[np.float64(12.96), np.float64(10.656), np.float64(7.992000000000001), np.float64(6.588), np.float64(8.1), np.float64(8.172), np.float64(7.632000000000001)]","[np.float64(10.7588791423846), np.float64(8.659673374128596), np.float64(7.9477342012761705), np.float64(7.686757489842402), np.float64(7.592013383462971), np.float64(7.557577472132574), np.float64(7.545063096629413)]"
Hanoi,temperature_average_c,3.244206305060736,3.4977172055308183,"[np.float64(20.9), np.float64(18.14), np.float64(19.44), np.float64(21.56), np.float64(22.71), np.float64(22.5), np.float64(22.8)]","[np.float64(22.58507834448527), np.float64(23.569344002408158), np.float64(24.373484492710045), np.float64(24.843731660300538), np.float64(25.06593875164833), np.float64(25.150092465480412), np.float64(25.1717744183924)]"
Hanoi,PRCP,9.21958786097093,9.362077597110371,"[np.float64(0.31), np.float64(3.33), np.float64(1.04), np.float64(0.03), np.float64(0.09), np.float64(0.01), np.float64(0.02)]","[np.float64(7.166107006644742), np.float64(9.89462748644118), np.float64(10.434600544530541), np.float64(10.479294706275255), np.float64(10.468312698566514), np.float64(10.46272130504058), np.float64(10.461451279297695)]"
Hanoi,wind_speed_km,0.6709495115961174,0.7126509763316353,"[np.float64(5.760000000000001), np.float64(4.392), np.float64(3.888), np.float64(4.104), np.float64(4.284), np.float64(3.996), np.float64(4.068)]","[np.float64(5.578640085215412), np.float64(5.010230527800403), np.float64(4.883138161273191), np.float64(4.847085475809854), np.float64(4.837553808095592), np.float64(4.8349838763779545), np.float64(4.834294817031237)]"
Ho Chi Minh City,temperature_average_c,0.7649567723100077,0.8283867293065502,"[np.float64(27.61), np.float64(27.46), np.float64(27.08), np.float64(26.03), np.float64(26.4), np.float64(26.33), np.float64(25.85)]","[np.float64(26.548191271184482), np.float64(26.789608836856818), np.float64(26.921988366339342), np.float64(26.986665537309147), np.float64(27.01736797961531), np.float64(27.03182835277831), np.float64(27.03862401084793)]"
Ho Chi Minh City,PRCP,12.837327482474086,18.971014764200493,"[np.float64(14.42), np.float64(6.36), np.float64(20.11), np.float64(3.35), np.float64(14.19), np.float64(16.86), np.float64(20.04)]","[np.float64(55.00747208429988), np.float64(30.482516376298), np.float64(21.322950506146647), np.float64(19.63021388649483), np.float64(18.368156810276155), np.float64(18.480881176430103), np.float64(18.180898462627024)]"
Ho Chi Minh City,wind_speed_km,1.3202023630521076,1.3711468441694727,"[np.float64(2.52), np.float64(2.952), np.float64(2.556), np.float64(2.736), np.float64(2.7), np.float64(3.564), np.float64(2.52)]","[np.float64(4.239312467839827), np.float64(4.164878845156513), np.float64(4.1182572232415975), np.float64(4.088515207168667), np.float64(4.069887898374089), np.float64(4.058003646822564), np.float64(4.050561252761495)]"
Hue (Thua Thien Hue),temperature_average_c,1.659570935743025,1.6646384234178537,"[np.float64(22.41), np.float64(22.54), np.float64(23.14), np.float64(23.4), np.float64(23.56), np.float64(23.83), np.float64(23.74)]","[np.float64(23.934736863366066), np.float64(24.429784921961595), np.float64(24.858228935712074), np.float64(25.12335739575946), np.float64(25.25618659276846), np.float64(25.30982007824771), np.float64(25.324881762385804)]"
Hue (Thua Thien Hue),PRCP,89.53680505481823,140.60397474828991,"[np.float64(17.44), np.float64(39.03), np.float64(24.69), np.float64(22.14), np.float64(103.95), np.float64(306.71), np.float64(232.95)]","[np.float64(16.592605042154915), np.float64(17.395356271962964), np.float64(17.179610794562787), np.float64(17.25629315864888), np.float64(17.2381802276457), np.float64(17.245838448657594), np.float64(17.24448067263957)]"
Hue (Thua Thien Hue),wind_speed_km,4.130792745825049,4.680544983829213,"[np.float64(15.624), np.float64(13.572), np.float64(12.204), np.float64(10.728), np.float64(13.824), np.float64(16.56), np.float64(14.832)]","[np.float64(13.470293721760068), np.float64(10.67795214175604), np.float64(9.539154914282822), np.float64(8.966880116339238), np.float64(8.697907547091834), np.float64(8.568882446865821), np.float64(8.507379891128828)]"
Nghe An (Vinh),temperature_average_c,3.7655800024623978,3.933396793437402,"[np.float64(19.94), np.float64(18.16), np.float64(18.47), np.float64(20.56), np.float64(22.02), np.float64(21.72), np.float64(21.45)]","[np.float64(22.511297248661037), np.float64(23.393078407627904), np.float64(24.094594760041755), np.float64(24.495944210645785), np.float64(24.679731537333314), np.float64(24.74525824516479), np.float64(24.759155607762196)]"
Nghe An (Vinh),PRCP,7.366821560605032,7.945267955139795,"[np.float64(6.29), np.float64(11.23), np.float64(9.76), np.float64(4.34), np.float64(4.76), np.float64(10.16), np.float64(11.3)]","[np.float64(12.39456317272056), np.float64(14.997976625589006), np.float64(15.91834603442451), np.float64(16.35968212447608), np.float64(16.519820132964693), np.float64(16.594782376102447), np.float64(16.622580457957927)]"
Nghe An (Vinh),wind_speed_km,2.8282448188727263,3.093594871067309,"[np.float64(15.012), np.float64(15.336), np.float64(11.628), np.float64(9.360000000000001), np.float64(10.116), np.float64(11.628), np.float64(10.836)]","[np.float64(12.613134613035177), np.float64(10.081316763721283), np.float64(8.976417414904855), np.float64(8.409077132241462), np.float64(8.128951063316798), np.float64(7.989388190142511), np.float64(7.920001090528834)]"
Nha Trang (Khanh Hoa),temperature_average_c,0.630224903696307,0.6954628828746995,"[np.float64(27.36), np.float64(27.03), np.float64(26.55), np.float64(26.81), np.float64(26.76), np.float64(27.01), np.float64(26.97)]","[np.float64(27.315495415669766), np.float64(27.452033264092915), np.float64(27.549700261729175), np.float64(27.60187216941528), np.float64(27.62486343234155), np.float64(27.633194118145354), np.float64(27.635406495819645)]"
Nha Trang (Khanh Hoa),PRCP,22.832397485936358,35.20549162539248,"[np.float64(8.59), np.float64(2.46), np.float64(58.55), np.float64(86.54), np.float64(27.87), np.float64(11.73), np.float64(7.77)]","[np.float64(12.347786522359531), np.float64(11.040453047026062), np.float64(9.972096430578034), np.float64(9.827856631512699), np.float64(9.537141461000518), np.float64(9.562217091425529), np.float64(9.46785444668568)]"
Nha Trang (Khanh Hoa),wind_speed_km,4.066227277975016,4.7215397978615705,"[np.float64(16.848), np.float64(17.676), np.float64(17.568), np.float64(15.336), np.float64(5.472), np.float64(5.760000000000001), np.float64(6.84)]","[np.float64(17.68961455715443), np.float64(15.61331445954163), np.float64(14.088249430317445), np.float64(13.246693003558871), np.float64(12.837135829513599), np.float64(12.652179364982258), np.float64(12.57291808759277)]"
Quang Nam (Tam Ky),temperature_average_c,1.0091487396067802,1.075562034136398,"[np.float64(25.16), np.float64(25.43), np.float64(25.79), np.float64(25.61), np.float64(25.77), np.float64(26.61), np.float64(26.56)]","[np.float64(26.452777423627285), np.float64(26.695748995550407), np.float64(26.8606809108265), np.float64(26.950936619551754), np.float64(26.9950899146882), np.float64(27.01512196380635), np.float64(27.02368534919696)]"
Quang Nam (Tam Ky),PRCP,60.200391940155335,82.3854226575638,"[np.float64(1.65), np.float64(6.63), np.float64(74.03), np.float64(85.71), np.float64(203.31), np.float64(64.67), np.float64(67.69)]","[np.float64(5.6872527534942385), np.float64(13.73373932287708), np.float64(15.708847000859103), np.float64(16.884761984577445), np.float64(17.34460293999975), np.float64(17.558860343123083), np.float64(17.65117622672453)]"
Quang Nam (Tam Ky),wind_speed_km,6.588144901348849,7.069409491171786,"[np.float64(20.88), np.float64(9.792000000000002), np.float64(19.296), np.float64(21.744), np.float64(20.88), np.float64(15.768), np.float64(15.732)]","[np.float64(16.427478763382844), np.float64(13.415120898261979), np.float64(11.903513448556883), np.float64(11.200793690835235), np.float64(10.878688322347777), np.float64(10.731450150253828), np.float64(10.664182213443464)]"
Quang Ninh,temperature_average_c,2.6974049695925046,2.918164351782445,"[np.float64(19.51), np.float64(19.12), np.float64(21.45), np.float64(23.29), np.float64(23.98), np.float64(23.39), np.float64(22.87)]","[np.float64(22.745860792703763), np.float64(23.970122102477845), np.float64(24.73589972138283), np.float64(25.106246220637544), np.float64(25.263353229688637), np.float64(25.324238705177635), np.float64(25.346114015079284)]"
Quang Ninh,PRCP,9.48789603763162,9.666288553899356,"[np.float64(1.67), np.float64(0.33), np.float64(0.07), np.float64(0.0), np.float64(0.01), np.float64(0.06), np.float64(0.17)]","[np.float64(6.821124390015723), np.float64(9.317071304830051), np.float64(10.158057978983457), np.float64(10.517663104681057), np.float64(10.590993000836026), np.float64(10.672816372420478), np.float64(10.647546111654552)]"
Quang Ninh,wind_speed_km,3.492525979967087,3.7974578711323663,"[np.float64(25.164), np.float64(21.708), np.float64(16.668), np.float64(14.148), np.float64(16.56), np.float64(17.172), np.float64(16.308)]","[np.float64(20.460408731433265), np.float64(16.03686477214761), np.float64(14.20428152497196), np.float64(13.45232370007621), np.float64(13.143828427300978), np.float64(13.017266757608295), np.float64(12.965344226692073)]"
Thanh Hoa,temperature_average_c,3.5558879908773013,3.8441625023351524,"[np.float64(20.01), np.float64(17.52), np.float64(18.44), np.float64(21.2), np.float64(22.58), np.float64(22.2), np.float64(22.54)]","[np.float64(22.325751977664165), np.float64(23.35806636742818), np.float64(24.1842789431186), np.float64(24.65970808190918), np.float64(24.88401055502896), np.float64(24.971661488695055), np.float64(24.997738522296967)]"
Thanh Hoa,PRCP,8.864780618624536,9.077753391227038,"[np.float64(1.0), np.float64(3.18), np.float64(2.7), np.float64(0.05), np.float64(0.12), np.float64(0.17), np.float64(0.07)]","[np.float64(6.864578462517657), np.float64(9.681991714225836), np.float64(10.37340166011771), np.float64(10.560987497087943), np.float64(10.610797840941386), np.float64(10.624083442221034), np.float64(10.627623713260185)]"
Thanh Hoa,wind_speed_km,1.2817119742795309,1.626779999946162,"[np.float64(11.16), np.float64(10.584), np.float64(7.884), np.float64(7.128), np.float64(7.272), np.float64(7.416), np.float64(6.84)]","[np.float64(8.934555272537228), np.float64(7.293323795791329), np.float64(6.821794974233707), np.float64(6.630293573222966), np.float64(6.563540037468877), np.float64(6.538737650446896), np.float64(6.529770876342284)]"
